path_id,time_step,time,price,pnl,portfolio_value,final_pnl,max_drawdown,sharpe_ratio
0,0,0.0,100.0,[-83.71529174],[9916.28470826],[-80.893555],[-84.88807279],
0,1,0.02,103.65787,[-82.52516235],[9917.47483765],[-80.893555],[-84.88807279],
0,2,0.04,102.26798,[-84.88807279],[9915.11192721],[-80.893555],[-84.88807279],
0,3,0.06,102.42082,[-84.63138725],[9915.36861275],[-80.893555],[-84.88807279],
0,4,0.08,104.08842,[-81.8390699],[9918.1609301],[-80.893555],[-84.88807279],
0,5,0.1,104.643,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,6,0.12,100.52745,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,7,0.14,97.99896,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,8,0.16,94.85794,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,9,0.18,93.4922,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,10,0.2,91.646805,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,11,0.22,91.16818,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,12,0.24,91.687096,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,13,0.26,93.252716,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,14,0.28,92.8492,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,15,0.3,89.74711,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,16,0.32,90.07976,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,17,0.34,93.87865,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,18,0.36,93.51088,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,19,0.38,91.33389,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,20,0.4,90.05675,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
0,21,0.42,89.04418,[-80.893555],[9919.106],[-80.893555],[-84.88807279],
